,Unnamed: 0,Socket,Foundry,Process Size: ,Transistors,Die Size,Package,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,Base Clock,Multiplier,Multiplier Unlocked,TDP,Codename,Generation,Memory Support,LPDDR4x Speed,Rated Speed,Memory Bus,ECC Memory,PCI-Express,# of Cores,# of Threads,SMP # CPUs: ,Integrated Graphics,Cache L1,Cache L2,Cache L3,LPDDR5 Speed,P-Core Base,E-Core Frequency,Configurable TDP,LPDDR5x Speed,Hybrid Cores,I/O Process Size,I/O Die Size,XDNA NPU,PPT,3D V-Cache,E-Core L1,E-Core L2,Chipset,Launch Price,DDR4 Speed,SoC Tile Process,I/O Tile Process,Graphics Tile Process,LP E-Core Boost,AI Boost NPU,Maximum Power,Secondary PCIe,LP E-Cores,Tertiary PCIe,Minimum Power,PL1,PL2,DDR5 Speed,PCH PCIe,Min. Assured Freq.,Max. Assured Freq.,tCaseMax,P-Core Boost 3.0,PL2 Tau Limit,Chipsets,Retail Availability,Bundled Cooler,E-Core L3,Maximum Memory,AI Boost NPU 4,Max Power,Packaged Memory,Memory Capacity,Cache L0-D,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Boost 3.0,TDP-down Frequency,Configurable TDP-down,LPDDR4 Speed,Base Die Process,Base Die Transistors,Base Die Size,All Core Turbo,Bus Speed,TDP-Down Freq.,LPDDR3 Speed,TDP-Down Frequency,MSRP,TDP Range,eDRAM Process Size,eDRAM Die Size,Cache L4,TDP-Up Freq.,TDP-down,Radeon Graphics Die Size,Dedicated Graphics,DDR3L Speed,DMI Bus Speed,Voltage,Core Pipeline,Announcement,Name
0,0,AMD Socket FP6,TSMC,7 nm,"10,700 million",180 mm²,FP6,95°C,Mobile,Active,"Jan 4th, 2023",100-000000944,2.3 GHz,up to 4.3 GHz,100 MHz,23.0x,No,15 W,Barcelo-R,Ryzen 3,DDR4,4267 MT/s,3200 MT/s,Dual-channel,Yes,"Gen 3, 16 Lanes",4,8,1,Radeon Graphics (Vega 4),64 KB (per core),512 KB (per core),8 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 3 7330U
1,1,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",95°C,Mobile,Active,"Jan 4th, 2023",100-000000537,3 GHz,up to 4.3 GHz,100 MHz,30.0x,No,28 W,Rembrandt-R,Ryzen 3,DDR5,,4800 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",4,8,1,Radeon 660M,64 KB (per core),512 KB (per core),8 MB (shared),6400 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 3 7335U
2,2,AMD Socket FP7,TSMC,4 nm,"20,900 million",137 mm²,"FP7, FP7r2",100°C,Mobile,Active,"May 3rd, 2023",100-000001068,3 GHz,up to 4.7 GHz,100 MHz,30.0x,No,28 W,Phoenix2,Ryzen 3,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 14 Lanes",4,8,1,Radeon 740M,64 KB (per core),1 MB (per core),8 MB (shared),,3.6 GHz,2.8 GHz,15-30 W,7500 MT/s,1 + 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 3 7440U
3,3,AMD Socket FP7,TSMC,4 nm,"20,900 million",137 mm²,"FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001325,3 GHz,up to 4.7 GHz,100 MHz,30.0x,No,28 W,Hawk Point,Ryzen 3,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 14 Lanes",4,8,1,Radeon 740M,64 KB (per core),1 MB (per core),8 MB (shared),,,,15-30 W,7500 MT/s,1 + 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 3 8440U
4,4,AMD Socket FP6,TSMC,7 nm,"10,700 million",180 mm²,FP6,95°C,Mobile,Active,"Jan 4th, 2023",100-000000950,2.3 GHz,up to 4.3 GHz,100 MHz,23.0x,No,15 W,Barcelo-R,Ryzen 3,DDR4,4267 MT/s,3200 MT/s,Dual-channel,Yes,"Gen 3, 16 Lanes",4,8,1,Radeon Graphics (Vega 6),64 KB (per core),512 KB (per core),8 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 3 PRO 7330U
5,5,AMD Socket FP6,TSMC,7 nm,"10,700 million",180 mm²,FC-BGA1140,95°C,Mobile,Active,"Jan 4th, 2023",100-000000943,2000 MHz,up to 4.5 GHz,100 MHz,20.0x,No,15 W,Barcelo-R,Ryzen 5,DDR4,4267 MT/s,3200 MT/s,Dual-channel,Yes,"Gen 3, 16 Lanes",6,12,1,Radeon Graphics (Vega 6),64 KB (per core),512 KB (per core),16 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7530U
6,6,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",95°C,Mobile,Active,"Jan 4th, 2023",100-000000986,3.3 GHz,up to 4.55 GHz,100 MHz,33.0x,No,35 W,Rembrandt-R,Ryzen 5,DDR5,,4800 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",6,12,1,Radeon 660M,64 KB (per core),512 KB (per core),16 MB (shared),6400 MT/s,,,35-54 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7535H
7,7,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",95°C,Mobile,Active,"Jan 4th, 2023",100-000000986,3.3 GHz,up to 4.55 GHz,100 MHz,33.0x,No,35 W,Rembrandt-R,Ryzen 5,DDR5,,4800 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",6,12,1,Radeon 660M,64 KB (per core),512 KB (per core),16 MB (shared),6400 MT/s,,,35-54 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7535HS
8,8,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",95°C,Mobile,Active,"Jan 4th, 2023",100-000000988,2.9 GHz,up to 4.55 GHz,100 MHz,29.0x,No,28 W,Rembrandt-R,Ryzen 5,DDR5,,4800 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",6,12,1,Radeon 660M,64 KB (per core),512 KB (per core),16 MB (shared),6400 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7535U
9,9,AMD Socket FP7,TSMC,4 nm,"25,000 million",178 mm²,"FP7, FP7r2",100°C,Mobile,Active,"May 3rd, 2023",100-000000957,3.2 GHz,up to 4.9 GHz,100 MHz,30.0x,No,28 W,Phoenix,Ryzen 3,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",6,12,1,Radeon 740M,64 KB (per core),1 MB (per core),16 MB (shared),,,,15-30 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7540U
10,10,AMD Socket FP7,TSMC,4 nm,"20,900 million",137 mm²,"FP7, FP7r2",100°C,Mobile,Active,"Nov 2nd, 2023",100-000000930,3.2 GHz,up to 4.9 GHz,100 MHz,32.0x,No,28 W,Phoenix2,Ryzen 5,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 14 Lanes",6,12,1,Radeon 740M,64 KB (per core),1 MB (per core),16 MB (shared),,3.7 GHz,3 GHz,15-30 W,7500 MT/s,2 + 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7545U
11,11,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,Jan 2023,100-000000956,4.3 GHz,up to 5 GHz,100 MHz,43.0x,No,35 W,Phoenix,Ryzen 5,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",6,12,1,Radeon 760M,64 KB (per core),1 MB (per core),16 MB (shared),,,,35-54 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7640H
12,12,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,Jan 2023,100-000000956,4.3 GHz,up to 5 GHz,100 MHz,43.0x,No,35 W,Phoenix,Ryzen 5,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",6,12,1,Radeon 760M,64 KB (per core),1 MB (per core),16 MB (shared),,,,35-54 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7640HS
13,13,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,"May 3rd, 2023",100-000001106,3.5 GHz,up to 4.9 GHz,100 MHz,35.0x,No,15 W,Phoenix,Ryzen 5,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",6,12,1,Radeon 760M,64 KB (per core),1 MB (per core),16 MB (shared),,,,28 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7640U
14,14,AMD Socket FL1,TSMC,5 nm,"6,570 million",71 mm²,µFC-BGAFL1,100°C,Mobile,Active,"Jan 4th, 2023",100-000000872,4 GHz,up to 5 GHz,100 MHz,40.0x,No,45 W,Dragon Range,Ryzen 5,DDR5,,5200 MT/s,Dual-channel,Yes,"Gen 5, 28 Lanes",6,12,1,Radeon 610M,64 KB (per core),1 MB (per core),32 MB (shared),,,,75 W,,,6 nm,122 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 7645HX
15,15,AMD Socket FP7,TSMC,4 nm,"20,900 million",137 mm²,"FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001326,3.2 GHz,up to 4.9 GHz,100 MHz,32.0x,No,28 W,Hawk Point,Ryzen 5,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 14 Lanes",6,12,1,Radeon 740M,64 KB (per core),1 MB (per core),16 MB (shared),,,3 GHz,15-30 W,7500 MT/s,2 + 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 8540U
16,16,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001373,3.5 GHz,up to 4.9 GHz,100 MHz,35.0x,No,28 W,Hawk Point,Ryzen 5,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",6,12,1,Radeon 760M,64 KB (per core),1 MB (per core),16 MB (shared),,,,20-30 W,7500 MT/s,,,,16 TOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 8640HS
17,17,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001324,3.5 GHz,up to 4.9 GHz,100 MHz,35.0x,No,28 W,Hawk Point,Ryzen 5,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",6,12,1,Radeon 760M,64 KB (per core),1 MB (per core),16 MB (shared),,,,15-30 W,7500 MT/s,,,,16 TOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 8640U
18,18,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001320,4.3 GHz,up to 5 GHz,100 MHz,43.0x,No,45 W,Hawk Point,Ryzen 5,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",6,12,1,Radeon 760M,64 KB (per core),1 MB (per core),16 MB (shared),,,,35-54 W,7500 MT/s,,,,16 TOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 8645HS
19,19,AMD Socket FP6,TSMC,7 nm,"10,700 million",180 mm²,FC-BGA1140,95°C,Mobile,Active,"Jan 4th, 2023",100-000000949,2000 MHz,up to 4.5 GHz,100 MHz,20.0x,No,15 W,Barcelo-R,Ryzen 5,DDR4,4267 MT/s,3200 MT/s,Dual-channel,Yes,"Gen 3, 16 Lanes",6,12,1,Radeon Graphics (Vega 7),64 KB (per core),512 KB (per core),16 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 5 PRO 7530U
20,20,AMD Socket FP6,TSMC,7 nm,"10,700 million",180 mm²,FC-BGA1140,95°C,Mobile,Active,"Jan 4th, 2023",100-000000942,2000 MHz,up to 4.5 GHz,100 MHz,20.0x,No,15 W,Barcelo-R,Ryzen 7,DDR4,4267 MT/s,3200 MT/s,Dual-channel,Yes,"Gen 3, 16 Lanes",8,16,1,Radeon Graphics (Vega 12),64 KB (per core),512 KB (per core),16 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7730U
21,21,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",95°C,Mobile,Active,"Jan 4th, 2023",100-000000985,3.2 GHz,up to 4.75 GHz,100 MHz,32.0x,No,35 W,Rembrandt-R,Ryzen 7,DDR5,,4800 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 680M,64 KB (per core),512 KB (per core),16 MB (shared),6400 MT/s,,,35-54 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7735H
22,22,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",95°C,Mobile,Active,"Jan 4th, 2023",unknown,3.2 GHz,up to 4.75 GHz,100 MHz,32.0x,No,35 W,Rembrandt-R,Ryzen 7,DDR5,,4800 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 680M,64 KB (per core),512 KB (per core),16 MB (shared),6400 MT/s,,,35-54 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7735HS
23,23,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",95°C,Mobile,Active,"Jan 4th, 2023",100-000000987,2.7 GHz,up to 4.75 GHz,100 MHz,27.0x,No,28 W,Rembrandt-R,Ryzen 7,DDR5,,4800 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 680M,64 KB (per core),512 KB (per core),16 MB (shared),6400 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7735U
24,24,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",95°C,Mobile,Active,"Jan 4th, 2023",100-000000534,2.7 GHz,up to 4.7 GHz,100 MHz,27.0x,No,15 W,Rembrandt-R,Ryzen 7,DDR5,,4800 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 680M,64 KB (per core),512 KB (per core),16 MB (shared),6400 MT/s,,,15-28 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7736U
25,25,AMD Socket FL1,TSMC,5 nm,"6,570 million",71 mm²,µFC-BGAFL1,100°C,Mobile,Active,"Jan 4th, 2023",100-000000721,3.6 GHz,up to 5.1 GHz,100 MHz,36.0x,Yes,55 W,Dragon Range,Ryzen 7,DDR5,,5200 MT/s,Dual-channel,Yes,"Gen 5, 28 Lanes",8,16,1,Radeon 610M,64 KB (per core),1 MB (per core),32 MB (shared),,,,45-75 W,,,6 nm,122 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7745HX
26,26,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,Jan 2023,100-000000955,3.8 GHz,up to 5.1 GHz,100 MHz,38.0x,No,35 W,Phoenix,Ryzen 7,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,35-54 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7840H
27,27,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,Jan 2023,100-000000955,3.8 GHz,up to 5.1 GHz,100 MHz,38.0x,No,35 W,Phoenix,Ryzen 7,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,35-54 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7840HS
28,28,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,May 2023,100-000000829,3.3 GHz,up to 5.1 GHz,100 MHz,33.0x,No,28 W,Phoenix,Ryzen 7,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,15-30 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 7840U
29,29,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001372,3.3 GHz,up to 5.1 GHz,100 MHz,33.0x,No,28 W,Hawk Point,Ryzen 7,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,20-30 W,7500 MT/s,,,,16 TOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 8840HS
30,30,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001323,3.3 GHz,up to 5.1 GHz,100 MHz,33.0x,No,28 W,Hawk Point,Ryzen 7,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,15-30 W,7500 MT/s,,,,16 TOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 8840U
31,31,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001322,3.8 GHz,up to 5.1 GHz,100 MHz,38.0x,No,45 W,Hawk Point,Ryzen 7,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,35-54 W,7500 MT/s,,,,16 TOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 8845HS
32,32,AMD Socket FP6,TSMC,7 nm,"10,700 million",180 mm²,FC-BGA1140,95°C,Mobile,Active,"Jan 4th, 2023",100-000000948,2000 MHz,up to 4.5 GHz,100 MHz,20.0x,No,15 W,Barcelo-R,Ryzen 7,DDR4,4267 MT/s,3200 MT/s,Dual-channel,Yes,"Gen 3, 16 Lanes",8,16,1,Radeon Graphics (Vega 8),64 KB (per core),512 KB (per core),16 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 7 PRO 7730U
33,33,AMD Socket FL1,TSMC,5 nm,"13,140 million",2x 71 mm²,µFC-BGAFL1,100°C,Mobile,Active,"Jan 4th, 2023",100-000000871,3 GHz,up to 5.2 GHz,100 MHz,30.0x,Yes,55 W,Dragon Range,Ryzen 9,DDR5,,5200 MT/s,Dual-channel,Yes,"Gen 5, 28 Lanes",12,24,1,Radeon 610M,64 KB (per core),1 MB (per core),64 MB (shared),,,,45-75 W,,,6 nm,122 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 7845HX
34,34,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,Jan 2023,100-000000954,4 GHz,up to 5.2 GHz,100 MHz,40.0x,No,35 W,Phoenix,Ryzen 9,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,54 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 7940H
35,35,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,Jan 2023,100-000000954,4 GHz,up to 5.2 GHz,100 MHz,40.0x,No,35 W,Phoenix,Ryzen 9,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,54 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 7940HS
36,36,AMD Socket FL1,TSMC,5 nm,"13,140 million",2x 71 mm²,µFC-BGAFL1,100°C,Mobile,Active,"Jan 4th, 2023",100-000000870,2.5 GHz,up to 5.4 GHz,100 MHz,25.0x,Yes,55 W,Dragon Range,Ryzen 9,DDR5,,5200 MT/s,Dual-channel,Yes,"Gen 5, 28 Lanes",16,32,1,Radeon 610M,64 KB (per core),1 MB (per core),64 MB (shared),,,,55-75 W,,,6 nm,122 mm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 7945HX
37,37,AMD Socket FL1,TSMC,5 nm,"17,840 million",2x 71 mm²,µFC-BGAFL1,100°C,Mobile,Active,"Jul 27th, 2023",100-000001086,2.3 GHz,up to 5.4 GHz,100 MHz,23.0x,Yes,55 W,Dragon Range,Ryzen 9,DDR5,,5200 MT/s,Dual-channel,Yes,"Gen 5, 28 Lanes",16,32,1,Radeon 610M,64 KB (per core),1 MB (per core),128 MB (shared),,,,,,,6 nm,122 mm²,,55-75 W,1x 64MB Slice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 7945HX3D
38,38,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,"FP8, FP7, FP7r2",100°C,Mobile,Active,"Dec 6th, 2023",100-000001319,4 GHz,up to 5.2 GHz,100 MHz,40.0x,No,45 W,Hawk Point,Ryzen 9,DDR5,,5600 MT/s,Dual-channel,No,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,35-54 W,7500 MT/s,,,,16 TOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 8945HS
39,39,AMD Socket FP8,TSMC,4 nm,,137 mm²,FP8,100°C,Mobile,Active,May 2023,100-000001280,3.2 GHz,up to 4.9 GHz,100 MHz,32.0x,No,15 W,Phoenix2,Ryzen Z1,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",6,12,1,Radeon 740M,64 KB (per core),1 MB (per core),16 MB (shared),,,3.5 GHz,9-30 W,7500 MT/s,2 + 4,,,,,,64 KB (per core),1 MB (per core),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen Z1
40,40,AMD Socket FP8,TSMC,4 nm,"25,000 million",178 mm²,FP8,100°C,Mobile,Active,May 2023,100-000001278,3.3 GHz,up to 5.1 GHz,100 MHz,33.0x,No,15 W,Phoenix,Ryzen Z1,DDR5,,5600 MT/s,Dual-channel,Yes,"Gen 4, 20 Lanes",8,16,1,Radeon 780M,64 KB (per core),1 MB (per core),16 MB (shared),,,,9-30 W,7500 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen Z1 Extreme
41,41,AMD BGA ST1,TSMC,6 nm,"2,400 million",131 mm²,FC-BGA,105°C,Mobile,Active,"Nov 9th, 2023",100-000000932,2.4 GHz,up to 3.5 GHz,100 MHz,24.0x,No,15 W,Van Gogh,Ryzen Custom,DDR5,,,Dual-channel,No,"Gen 3, 8 Lanes",4,8,1,Radeon Navi II 8CU,64 KB (per core),512 KB (per core),4 MB (shared),6400 MT/s,,,4 W,,,,,,,,,,Valve Jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steam Deck CPU (OLED)
42,42,Intel BGA 1264,Intel,10 nm,,,FC-BGA16F,105°C,Mobile,Active,"Jan 3rd, 2023",SRMLP,1000 MHz,up to 3.2 GHz,100 MHz,10.0x,No,6 W,Alder Lake-N,Atom,"DDR4, DDR5",,4800 MT/s,Single-channel,No,"Gen 3, 9 Lanes",2,2,1,UHD Graphics 16EU,96 KB (per core),2 MB (shared),6 MB (shared),4800 MT/s,,,,,,,,,,,,,,$39,3200 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atom x7211E
